alias_advisory_count,alias_advisory_present,canonical_harmonic_order,canonical_primary_role,frequency,graph_id,is_canonical_harmonic,is_dominant,is_operational_reference,is_primary_sideband_member,node_id,node_index,observation_id,period,power,primary_sideband_role,reference_is_dominant,relationship_participation_count,retained_peak_id,retained_rank,semantic_fingerprint,upstream_peak_fingerprint,layout_x,layout_y,display_in_panel
0,False,5,CANONICAL_HARMONIC,4.090107174382389,graph:observation:4a4591056283a9debf557521,True,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0022,21,observation:4a4591056283a9debf557521,0.24449237082668895,0.001406421598269134,,False,470,retained_peak:observation:4a4591056283a9debf557521:0022,22,c55b4fbf749c89c1845c133d44df3b56f123cc3f0b2cc37abb4f4b4831acd569,359a4864084f0c745739304f2ceb87bb80f679851a063bd9fadcdea9bf2c4740,0.19977298524404086,0.4028632797692344,YES
0,False,,CANONICAL_SIDEBAND_LEFT,0.5005046876306697,graph:observation:4a4591056283a9debf557521,False,False,False,True,node:retained_peak:observation:4a4591056283a9debf557521:0023,22,observation:4a4591056283a9debf557521,1.997983285099451,0.0012591809461047192,LEFT,False,434,retained_peak:observation:4a4591056283a9debf557521:0023,23,512a2e9aa08d9981358a892df1bc04eaffdacc9bfc8647e43de1b56fcf491a49,ab0a2d15ab78f6223eac452a9f95cac665798e132c680cfb181619d0c99a1046,0.0170261066969353,0.39221473019304365,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,4.536020526773907,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0024,23,observation:4a4591056283a9debf557521,0.22045755615467125,0.0011997383544817798,,False,480,retained_peak:observation:4a4591056283a9debf557521:0024,24,e5229ddcdd1fd9d12d38d58f3898314b75dcf5d23c99bdf87fc33811f0f0fb9e,0d536452762303e0f6316bccd42c803c2029def0b3da791a760b5f07738266a9,0.22247446083995462,0.387558291225191,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,5.338664561078639,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0025,24,observation:4a4591056283a9debf557521,0.18731276118946816,0.0011185606645033657,,False,443,retained_peak:observation:4a4591056283a9debf557521:0025,25,373e68f03c5afb3cc5d803b53c8dba6481e724935af1c6760980d330b17905c7,247b788846b641533f2fe5ec0a9e83644bc4e78e4ec96058c5ce4889fe4d7249,0.2633371169125993,0.3808120686597605,NO
1,True,,NONCANONICAL_FAMILY_MEMBER,0.16606967333703126,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0026,25,observation:4a4591056283a9debf557521,6.021569019230519,0.001097040297612615,,False,335,retained_peak:observation:4a4591056283a9debf557521:0026,26,f3ec69a85d66798194d8b768d11f2d50a4dc97820a0040fd9a75b42007a30ab7,65027445f0f5a3bf803bc6d225860597556ced56fc0ed42410e419e7e7a57284,0.0,0.37894143985283835,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,6.587221947774889,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0027,26,observation:4a4591056283a9debf557521,0.1518090642653679,0.0010939265826885015,,False,451,retained_peak:observation:4a4591056283a9debf557521:0027,27,58d3e9cab73b5258b053dc9669b7558b3cb6aff3878bfa0e609bcdb008ca05fa,1cbbc8773cdd029076c5a2b4b2ad69e3a0ec6287ea70970a7331bda2642b385d,0.32690124858115777,0.3786677497065835,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,10.10993743166788,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0028,27,observation:4a4591056283a9debf557521,0.09891258049408379,0.0009732072518100869,,False,435,retained_peak:observation:4a4591056283a9debf557521:0028,28,1fee9047f8597fa4443be580dfe5dd412eab392f170d540178cf02e0cb4aa8fb,6128566d6b1eaabbfa4aacec2386b9e30e205e1b1133c1325a3ac9b03da92a9f,0.5062429057888762,0.3674082652036795,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,6.230491265861675,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0029,28,observation:4a4591056283a9debf557521,0.16050098737466095,0.0006552002731964586,,False,466,retained_peak:observation:4a4591056283a9debf557521:0029,29,6d0597aec949de59e6d38653d940b576694723ca4d28e9742e6100676939c4c2,e08bbcee64370534835b46fe6a7e15673da096634503ead63b771802eadd8ca0,0.3087400681044268,0.32931013006801946,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,6.4534479420574336,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0030,29,observation:4a4591056283a9debf557521,0.1549559257281602,0.0006523572488158183,,False,448,retained_peak:observation:4a4591056283a9debf557521:0030,30,d68ed90945768bf1420ce10bcc763c624b3ab7669aaae580f8dd6eb8c33d9e10,a021f14e2de33b88f79b2d00bc98dceb9689b2bff5b4989673fd41b9f0bfd13d,0.32009080590238365,0.3288913979261186,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,3.9786288362845093,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0031,30,observation:4a4591056283a9debf557521,0.25134287241879594,0.0005766435932749994,,False,440,retained_peak:observation:4a4591056283a9debf557521:0031,31,6c21dc5802bdfa3a28830e32ead149d8fb12c255c5df8191854b15112745bdcd,d2513c658642bd70559948d168fb145f68e15afee043045a2dff7aa62286930f,0.19409761634506242,0.31701217049343894,NO
